team100_top,team200_top,team100_jungle,team200_jungle,team100_middle,team200_middle,team100_bottom,team200_bottom,team100_support,team200_support,team100_ban1,team100_ban2,team100_ban3,team100_ban4,team100_ban5,team200_ban1,team200_ban2,team200_ban3,team200_ban4,team200_ban5,label_win_team100,gameId
34,4,106,63,166,238,42,21,526,12,157,18,800,40,56,8,36,142,236,43,0,7437269443
799,126,254,30,103,221,523,37,117,897,18,83,35,7,800,800,238,950,119,114,1,7437342185
79,150,141,64,161,119,51,103,43,111,18,107,83,555,157,201,555,238,107,246,0,7441041351
58,14,32,203,4,103,235,22,78,201,119,267,98,238,876,238,887,91,950,107,0,7441087885
83,8,421,134,103,950,42,202,111,89,30,800,238,234,91,157,36,92,7,18,0,7441127400
516,8,121,32,134,4,236,18,267,40,950,91,-1,777,56,555,107,91,61,36,0,7441168847
98,150,233,421,238,54,221,236,147,201,122,555,3,8,81,-1,910,950,266,91,0,7441210342
799,24,163,76,526,800,42,901,157,432,40,58,91,7,60,107,238,235,77,555,1,7442120819
58,875,120,107,910,777,81,901,60,267,36,350,112,48,67,-1,78,799,202,238,1,7439313223
80,8,56,59,1,238,119,901,267,143,54,53,-1,35,875,25,202,-1,800,122,0,7439443905
86,92,131,421,157,800,901,119,40,526,2,202,266,56,238,201,234,84,58,12,1,7439481056
164,80,56,107,55,99,18,901,117,412,902,777,555,201,86,120,83,59,202,800,1,7440321806
777,10,59,421,38,29,901,902,40,157,267,58,202,121,246,24,56,8,64,238,0,7440358957
82,897,107,24,92,105,901,222,555,16,202,55,98,-1,56,950,114,141,103,-1,1,7440412751
83,122,59,104,45,13,901,236,35,267,266,202,56,121,36,107,893,555,53,119,1,7440459868
777,10,154,56,81,134,235,22,517,350,110,34,69,18,8,-1,202,245,24,59,0,7441319213
92,58,106,56,166,4,81,22,267,43,950,50,112,36,6,202,7,201,64,516,1,7441376573
114,31,80,89,50,103,523,22,902,120,121,119,92,7,98,234,202,166,799,36,0,7441426618
875,19,107,36,127,10,22,893,267,234,56,222,517,200,202,98,8,6,800,141,0,7442257123
266,164,35,131,800,517,18,96,134,40,117,202,8,104,39,24,555,34,36,238,1,7442378691
150,56,111,19,76,245,18,901,43,432,202,800,33,-1,10,777,-1,63,238,266,0,7443008892
266,145,77,91,134,412,236,122,16,142,11,157,202,98,238,223,238,107,19,36,0,7443037418
24,897,9,143,34,777,157,29,40,53,222,131,895,103,86,31,119,166,117,200,1,7324695787
98,67,234,56,112,61,29,222,497,412,21,800,38,119,420,117,800,134,31,111,0,7324730416
86,157,60,141,31,81,901,43,497,800,34,166,72,114,222,112,77,119,111,122,1,7325052738
84,10,200,203,106,103,29,22,497,902,122,119,-1,3,8,42,432,166,60,69,0,7325434763
54,80,200,233,143,55,221,29,350,147,117,360,800,154,157,516,122,3,119,157,0,7343811512
31,27,234,154,55,15,29,26,147,90,119,3,54,122,157,38,40,950,120,112,0,7345982062
133,233,59,518,166,131,800,901,143,234,11,950,80,43,60,51,23,91,950,3,1,7346031003
799,2,79,203,91,238,145,523,22,3,236,119,157,902,876,201,121,157,119,122,0,7441495385
23,98,91,76,8,777,15,222,201,111,200,-1,117,950,80,36,238,35,157,122,0,7442384851
7,150,238,29,101,110,895,236,16,12,526,18,887,254,157,887,26,111,32,121,1,7444000090
14,39,59,104,517,101,18,202,267,12,91,117,122,555,238,40,42,55,254,92,1,7444444969
55,54,59,245,145,84,432,29,34,350,120,235,236,90,-1,18,777,800,119,122,1,7441092347
122,69,19,98,134,96,145,117,902,61,111,101,35,11,201,895,26,90,78,166,0,7441136060
777,58,245,221,55,13,901,51,350,35,236,24,59,90,33,164,107,800,902,235,0,7441536809
24,141,121,120,350,55,236,901,800,412,799,7,78,201,131,555,799,56,122,90,0,7441566261
8,163,121,106,246,157,895,360,40,32,117,112,893,18,36,950,234,89,238,875,0,7442059007
82,17,887,233,99,55,145,29,40,350,36,555,20,201,75,67,555,141,92,90,0,7442104653
36,58,234,119,8,53,51,50,40,76,887,91,9,90,35,-1,111,203,887,90,0,7442149972
777,6,91,9,38,55,18,81,412,99,427,54,7,84,266,107,360,157,122,35,0,7442222217
266,122,56,77,99,245,18,15,235,12,114,90,36,238,143,59,111,119,7,67,1,7443437371
98,145,76,62,10,1,222,15,117,161,950,29,56,122,90,427,238,36,107,523,0,7443471679
41,92,35,64,69,13,202,523,161,902,134,117,56,10,90,238,950,96,53,58,1,7443867124
6,142,234,98,45,245,81,15,89,57,85,36,35,90,106,121,7,29,145,36,0,7443901240
85,893,234,200,55,14,202,51,25,16,800,59,106,-1,90,56,142,122,800,35,0,7443997103
86,67,76,36,4,7,29,235,89,412,19,10,777,555,134,119,38,90,40,114,1,7444068883
39,2,104,9,90,91,235,145,43,35,18,107,157,555,266,38,36,103,19,24,0,7444114643
238,17,233,234,412,90,887,202,360,154,893,35,21,83,91,67,799,902,36,800,0,7444153126
240,23,36,427,711,134,235,15,555,89,111,141,163,236,122,10,901,238,35,54,0,7444208942
92,75,245,56,4,238,81,202,43,99,107,111,134,54,119,29,84,523,427,10,0,7443190429
516,75,76,106,142,105,81,202,235,89,107,200,114,800,526,950,800,36,238,-1,0,7443264578
2,41,245,106,3,7,67,202,53,235,114,51,134,119,200,950,222,800,119,54,1,7443315171
2,10,80,106,800,136,222,81,117,43,157,79,91,29,412,950,55,4,39,38,0,7443380763
19,36,234,106,90,126,110,236,16,902,29,24,6,202,131,43,950,200,157,887,1,7443426139
80,36,131,106,112,910,81,114,267,44,150,69,117,222,800,555,950,157,2,236,0,7443892640
887,875,106,107,800,157,236,21,161,50,950,350,126,238,51,59,19,72,24,154,0,7443925074
36,6,106,121,157,800,202,22,412,526,950,35,245,24,895,201,107,117,38,10,0,7443953452
13,86,120,106,711,76,202,81,25,143,203,26,555,36,800,910,950,119,36,166,0,7443991206
36,114,104,106,134,268,147,222,22,25,2,121,55,902,235,950,31,51,105,161,1,7444143646
86,164,106,80,34,69,67,901,902,526,950,10,51,134,29,201,19,222,35,28,1,7444185817
150,62,104,106,7,238,202,51,910,43,555,58,36,119,84,222,950,555,90,98,1,7444340757
54,887,876,106,4,91,96,81,117,43,59,233,800,166,157,360,555,950,800,23,1,7444376027
150,157,245,56,50,101,901,145,902,201,29,55,800,122,64,950,7,106,54,24,0,7444418634
24,150,106,15,517,134,21,78,89,91,25,950,902,8,119,117,119,39,107,800,0,7444444157
114,54,106,200,78,61,81,15,134,902,4,950,67,92,238,18,238,28,-1,897,0,7444479049
98,887,32,106,80,90,202,222,76,16,412,166,895,36,234,555,950,523,121,119,0,7444505926
75,875,233,35,12,34,81,360,31,267,15,154,799,234,10,90,235,157,85,121,1,7444525964
875,897,234,80,69,103,119,110,526,497,91,67,6,201,7,92,55,72,91,555,1,7442851216
122,126,268,221,202,55,111,526,64,104,101,18,81,120,67,7,18,-1,427,-1,0,7443007779
246,893,48,64,240,67,22,18,164,526,800,234,35,-1,201,55,897,950,85,555,0,7443525302
67,897,245,421,201,136,711,18,238,526,54,800,92,-1,62,234,777,555,-1,799,1,7443546903
114,122,56,234,55,105,202,42,12,16,91,58,18,555,238,-1,-1,200,166,555,1,7443556330
126,69,35,36,910,45,202,523,60,12,234,235,19,-1,119,800,55,2,555,154,0,7443927844
799,19,107,64,55,61,142,119,432,12,3,77,800,92,238,234,555,98,950,134,0,7444560531
9,799,104,60,238,18,58,910,30,12,203,91,800,19,107,38,555,55,92,234,0,7444564161
266,41,427,203,8,103,222,18,12,111,555,83,91,119,127,154,36,81,7,91,1,7444971658
7,36,141,950,800,84,21,81,267,111,517,91,893,201,107,555,119,200,166,3,1,7432282740
92,875,76,238,55,134,145,221,57,267,35,555,91,126,8,119,555,35,7,83,0,7432348250
266,14,427,5,55,517,110,221,111,117,236,157,950,555,98,119,800,60,120,234,1,7439811128
24,92,121,200,101,222,157,711,526,89,166,107,800,80,122,555,4,18,238,58,0,7439847574
39,777,91,120,112,61,222,221,412,117,517,157,800,31,29,711,245,84,89,555,1,7439883378
78,36,121,799,55,90,119,51,526,43,201,8,142,64,24,53,901,91,24,555,1,7441963172
41,84,245,36,81,518,267,235,163,526,59,238,2,201,43,58,221,234,55,555,0,7443391850
82,799,107,64,142,61,901,51,111,3,38,555,121,10,78,157,12,950,555,39,1,7444399470
777,39,80,59,90,800,523,67,16,37,18,555,799,166,91,950,55,555,235,122,0,7443387223
15,58,234,56,103,266,53,145,39,432,200,18,526,7,80,134,92,36,91,119,1,7443449275
60,887,36,35,22,61,21,42,12,89,39,91,236,4,119,950,107,555,18,800,1,7444971216
897,36,120,234,267,112,236,81,45,432,29,235,203,157,9,76,7,78,39,117,0,7438242071
41,516,887,59,103,67,222,21,432,267,157,121,39,-1,80,18,76,234,51,114,0,7438275074
266,8,234,221,69,800,51,40,60,106,235,799,76,134,150,555,134,119,36,15,1,7438531043
421,48,234,5,893,268,18,202,117,60,76,40,119,7,432,24,36,111,134,235,1,7438562600
19,166,234,106,34,223,119,145,43,497,85,30,201,-1,893,24,902,432,7,107,1,7438579886
516,266,234,28,8,4,222,235,497,89,76,119,163,92,-1,40,142,91,85,119,0,7438841373
31,92,234,427,117,55,18,42,147,161,800,76,238,266,119,360,91,98,8,111,0,7438870296
799,154,20,234,134,91,18,236,555,267,60,238,78,34,412,76,7,119,526,114,1,7439152551
82,131,59,19,13,10,29,96,80,147,76,238,201,875,117,114,91,56,234,134,0,7439837188
893,67,234,163,875,157,222,145,117,201,91,103,236,79,119,119,-1,58,526,126,1,7439873217
48,98,234,106,134,91,119,81,902,117,76,201,28,35,24,7,901,555,141,122,1,7441713222
27,236,48,141,78,92,84,201,21,134,53,13,126,38,111,122,7,8,119,950,1,7441736892
79,77,234,246,800,85,221,110,40,111,120,142,98,76,10,18,235,59,114,238,0,7441999137
122,67,60,360,222,103,412,526,777,234,201,84,29,85,35,157,12,18,76,114,1,7442039318
799,54,106,33,55,99,81,29,902,43,157,76,887,238,117,119,78,69,2,157,0,7444101763
41,420,234,59,99,14,21,51,89,53,119,238,266,91,10,166,69,145,76,266,0,7444147288
897,114,131,81,555,10,4,350,69,60,134,201,48,25,76,26,59,76,236,78,0,7444195709
17,875,59,200,74,90,910,115,267,3,145,39,266,76,555,67,79,221,120,157,0,7444240840
79,98,76,102,134,1,523,21,412,53,201,80,800,7,266,38,131,555,234,114,1,7431499820
98,61,234,121,89,222,21,412,4,79,157,555,35,41,107,201,-1,266,35,7,0,7431534903
27,79,106,20,61,4,523,22,25,412,555,166,-1,24,81,201,166,245,555,266,1,7434518381
516,79,2,106,8,18,235,360,37,412,114,91,799,111,142,36,800,9,201,114,0,7434584980
24,166,64,60,127,79,202,110,43,53,122,91,517,107,111,-1,78,114,35,201,1,7434616298
90,79,78,59,777,85,222,15,53,412,9,91,7,166,950,60,201,221,7,114,1,7434655140
238,79,36,76,96,4,53,202,85,412,40,875,91,235,35,201,69,555,8,266,1,7434680047
7,27,5,800,4,234,15,901,12,40,36,266,107,201,84,412,79,119,238,126,1,7434699740
6,887,64,5,13,112,99,15,526,3,200,53,201,134,54,80,24,84,40,221,0,7436345425
31,76,64,80,8,77,523,161,32,412,91,910,517,58,107,7,201,91,114,238,0,7436411530
84,897,24,421,893,245,235,96,43,117,91,119,76,432,134,201,-1,51,420,7,0,7436450827
50,9,91,141,497,157,202,235,61,40,119,60,201,517,7,56,7,555,221,68,0,7436503112
897,150,102,59,518,8,15,21,902,12,887,234,201,10,84,119,36,7,91,122,1,7436596723
79,164,121,254,101,142,22,81,412,43,-1,266,36,201,238,35,800,555,91,24,0,7443459465
